title,rate,budget,revenue,runtime,year
Adore,6.1,16000000,318982,100.0,2013
The Geographer Drank His Globe Away,7.3,0,4037782,120.0,2013
Sharknado,3.8,1000000,0,86.0,2013
"Batman: The Dark Knight Returns, Part 2",7.9,3500000,0,78.0,2013
In the Name of the King III,3.3,3500000,0,85.0,2013
The Purge,6.0,3000000,89328627,86.0,2013
Before Midnight,7.4,3000000,11176469,108.0,2013
Frances Ha,7.2,0,4069826,86.0,2013
Open Road,5.2,3000000,0,85.0,2013
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2.9,0,0,80.0,2013
Enter the Dangerous Mind,4.8,0,0,88.0,2013
Ida,7.1,2159280,10700000,80.0,2013
A Haunted House,5.4,2500000,60141683,86.0,2013
Kevin Hart: Let Me Explain,7.1,0,32230907,74.0,2013
The Spectacular Now,6.8,2500000,6854611,95.0,2013
The Lost Medallion: The Adventures of Billy Stone,5.6,0,0,97.0,2013
Plush,5.4,0,0,98.0,2013
Coffee Town,6.7,0,0,87.0,2013
The Ghastly Love of Johnny X,6.6,0,0,106.0,2013
All Is Bright,5.3,0,0,107.0,2013
Straight A's,5.2,7000000,0,88.0,2013
The Square,7.8,0,0,88.0,2013
ABCD (Any Body Can Dance),5.6,0,222000,160.0,2013
Independence Daysaster,4.2,1800000,0,86.0,2013
Against the Wild,4.9,1493619,0,90.0,2013
The Lunchbox,7.3,1000000,4235151,104.0,2013
Grace Unplugged,6.0,0,0,102.0,2013
The To Do List,5.5,1500000,3566225,104.0,2013
Last I Heard,6.0,0,0,98.0,2013
Closer to the Moon,6.4,9000000,0,112.0,2013
Filly Brown,5.9,0,0,100.0,2013
The Amazing Catfish,5.7,1300000,0,87.0,2013
Home Run,6.3,1200000,2861020,114.0,2013
The Blade of Don Juan,0.0,0,0,98.0,2013
Bleeding Hearts,2.0,0,0,0.0,2013
The Vatican Exorcisms,4.4,0,0,0.0,2013
20 Feet from Stardom,7.4,1000000,0,89.0,2013
Antarctica: A Year on Ice,7.2,1000000,0,92.0,2013
Heli,6.2,1000000,0,105.0,2013
Zombie Hunter,3.5,0,0,93.0,2013
Banshee Chapter,5.7,950000,0,87.0,2013
Fruitvale Station,7.3,0,17385830,85.0,2013
1982,5.0,1000000,0,90.0,2013
Escape from Tomorrow,4.8,650,0,90.0,2013
Treachery,4.8,625000,0,68.0,2013
Faith Connections,4.2,550000,0,115.0,2013
Drinking Buddies,6.0,0,343341,90.0,2013
Roadside,4.2,0,0,90.0,2013
The Canyons,4.1,250000,56825,99.0,2013
UnDivided,0.0,0,0,0.0,2013
Along the Roadside,7.7,250,0,118.0,2013
Aroused,7.2,0,0,73.0,2013
Cheap Thrills,6.3,0,0,85.0,2013
Echo Dr.,5.0,0,0,85.0,2013
The Dirties,6.0,0,0,83.0,2013
Bending Steel,5.0,0,0,93.0,2013
The Image Revolution,5.7,50000,0,81.0,2013
This Is Martin Bonner,6.6,0,0,83.0,2013
A True Story,6.8,0,0,96.0,2013
Her Cry: La Llorona Investigation,0.0,0,0,89.0,2013
Dry Spell,6.0,22000,0,90.0,2013
"Signed, Sealed, Delivered",7.0,0,0,120.0,2013
